Heathrow Airport,Charles de Gaulle International Airport,348
Charles de Gaulle International Airport,Amsterdam Airport Schiphol,430
Amsterdam Airport Schiphol,Frankfurt am Main International Airport,368
Frankfurt am Main International Airport,Istanbul Atatürk Airport,1868
Istanbul Atatürk Airport,Adolfo Suárez Madrid–Barajas Airport,2714
Adolfo Suárez Madrid–Barajas Airport,Barcelona–El Prat Airport,505
Barcelona–El Prat Airport,Gatwick Airport,1110
Gatwick Airport,Munich Airport,917
Munich Airport,Leonardo da Vinci–Fiumicino Airport,728
Leonardo da Vinci–Fiumicino Airport,Sheremetyevo International Airport,2383
Sheremetyevo International Airport,Sabiha Gökçen International Airport,2400
Sabiha Gökçen International Airport,Moscow Domodedovo Airport,1757
Moscow Domodedovo Airport,Dublin Airport,2818
Dublin Airport,Zürich Airport,1240
Zürich Airport,Copenhagen Airport,949
Copenhagen Airport,Palma De Mallorca Airport,1925
Palma De Mallorca Airport,Manchester Airport,1581
Manchester Airport,Oslo Airport Gardermoen,1066
Oslo Airport Gardermoen,Lisbon Portela Airport,2768
Lisbon Portela Airport,Stockholm Arlanda Airport,2989
Stockholm Arlanda Airport,Antalya Airport,2692
Antalya Airport,London Stansted Airport,2914
London Stansted Airport,Brussels Airport,314
Brussels Airport,Düsseldorf International Airport,174
Düsseldorf International Airport,Vienna International Airport,790
Vienna International Airport,Milan–Malpensa Airport,625
Milan–Malpensa Airport,Athens International Airport,1522
Athens International Airport,Berlin-Tegel International Airport,1804
Berlin-Tegel International Airport,Helsinki Airport,1115
Helsinki Airport,Málaga Airport,3335
Málaga Airport,Vnukovo International Airport,3762
Vnukovo International Airport,Hamburg Airport,1782
Hamburg Airport,Geneva Airport,871
Geneva Airport,Pulkovo Airport,2202
Pulkovo Airport,Esenboğa International Airport,2197
Esenboğa International Airport,Luton Airport,2835
Luton Airport,Warsaw Chopin Airport,1456
Warsaw Chopin Airport,Vaclav Havel Airport Prague,518
Vaclav Havel Airport Prague,Alicante International Airport,1752
Alicante International Airport,Edinburgh Airport,1969
Edinburgh Airport,Nice-Côte d'Azur Airport,1560
Nice-Côte d'Azur Airport,Budapest Ferenc Liszt International Airport,1008
Budapest Ferenc Liszt International Airport,Gran Canaria Airport,3694
Gran Canaria Airport,Birmingham Airport,2952
Birmingham Airport,Berlin-Schönefeld International Airport,1033
Berlin-Schönefeld International Airport,Adnan Menderes International Airport,1892
Adnan Menderes International Airport,Henri Coandă International Airport,705
Henri Coandă International Airport,Cologne Bonn Airport,1599
Cologne Bonn Airport,Orio al Serio International Airport,608
Orio al Serio International Airport,Tenerife South Airport,3009
Tenerife South Airport,Stuttgart Airport,1627
Stuttgart Airport,Francisco de Sá Carneiro Airport,1632
Francisco de Sá Carneiro Airport,Boryspil International Airport,3188
Boryspil International Airport,Venice Marco Polo Airport,1487
Venice Marco Polo Airport,Lyon Saint-Exupéry Airport,565
Lyon Saint-Exupéry Airport,Glasgow Airport,1290
Glasgow Airport,Milano Linate Airport,1503
Milano Linate Airport,Toulouse-Blagnac Airport,648
Toulouse-Blagnac Airport,Catania-Fontanarossa Airport,1342
Catania-Fontanarossa Airport,Marseille Provence Airport,1043
Marseille Provence Airport,Faro Airport,1326
Faro Airport,Keflavík International Airport,3157
Keflavík International Airport,Bologna Guglielmo Marconi Airport,3021
Bologna Guglielmo Marconi Airport,Naples International Airport,471
Naples International Airport,Bristol Airport,1748
Bristol Airport,Ibiza Airport,1430
Ibiza Airport,EuroAirport Basel-Mulhouse-Freiburg Airport,1091
EuroAirport Basel-Mulhouse-Freiburg Airport,Brussels South Charleroi Airport,405
Brussels South Charleroi Airport,Heraklion International Airport,2368
Heraklion International Airport,Lanzarote Airport,3692
Lanzarote Airport,Göteborg Landvetter Airport,3771
Göteborg Landvetter Airport,Valencia Airport,1336
Valencia Airport,Sofia Airport,2028
Sofia Airport,Thessaloniki Airport Makedonia,231
Thessaloniki Airport Makedonia,Bordeaux-Mérignac Airport,1987
Bordeaux-Mérignac Airport,Bergen Airport Flesland,1774
Bergen Airport Flesland,Riga International Airport,1145
Riga International Airport,Fuerteventura Airport,4354
Fuerteventura Airport,Malta International Airport,2783
Malta International Airport,Ciampino–G. B. Pastine International Airport,1002
Ciampino–G. B. Pastine International Airport,Hannover Airport,1195
Hannover Airport,Belfast International Airport,1064
Belfast International Airport,John Paul II International Airport Kraków–Balice,1827
John Paul II International Airport Kraków–Balice,Falcone–Borsellino Airport,1428
Falcone–Borsellino Airport,Sochi International Airport,2324
Sochi International Airport,Eindhoven Airport,2689
Eindhoven Airport,Adana Airport,5572
Adana Airport,Nantes Atlantique Airport,3213
Nantes Atlantique Airport,Newcastle Airport,870
Newcastle Airport,Belgrade Nikola Tesla Airport,1930
Belgrade Nikola Tesla Airport,Rhodes International Airport,1142
Rhodes International Airport,Pisa International Airport,621
Pisa International Airport,Simferopol International Airport,1875
Simferopol International Airport,Sevilla Airport,3424
Sevilla Airport,Bilbao Airport,707
Bilbao Airport,Liverpool John Lennon Airport,1129
Liverpool John Lennon Airport,East Midlands Airport,128
East Midlands Airport,Eindhoven Airport,490
Hannover Airport,Valencia Airport,1640
Lanzarote Airport,Brussels South Charleroi Airport,2853